transaction_id,amount,currency,type,account_from,account_to,timestamp,status,merchant,category,country
TXN2025010701,2500.00,USD,TRANSFER,ACC100,ACC200,2025-01-07T10:15:30Z,completed,Direct Transfer,P2P,US
TXN2025010702,150.50,USD,PAYMENT,ACC101,MERCHANT001,2025-01-07T10:16:45Z,completed,Amazon,E-commerce,US
TXN2025010703,5000.00,USD,WITHDRAWAL,ACC102,ATM001,2025-01-07T10:17:20Z,completed,Chase ATM,Banking,US
TXN2025010704,75.25,USD,PAYMENT,ACC103,MERCHANT002,2025-01-07T10:18:10Z,completed,Starbucks,Food & Dining,US
TXN2025010705,10000.00,USD,TRANSFER,ACC104,ACC105,2025-01-07T10:19:00Z,failed,Direct Transfer,P2P,US
TXN2025010706,320.00,USD,PAYMENT,ACC106,MERCHANT003,2025-01-07T10:20:15Z,completed,Walmart,Retail,US
TXN2025010707,1250.00,USD,DEPOSIT,BANK001,ACC107,2025-01-07T10:21:30Z,completed,Bank Deposit,Banking,US
TXN2025010708,89.99,USD,PAYMENT,ACC108,MERCHANT004,2025-01-07T10:22:45Z,completed,Netflix,Entertainment,US
TXN2025010709,450.00,USD,TRANSFER,ACC109,ACC110,2025-01-07T10:23:00Z,completed,Direct Transfer,P2P,US
TXN2025010710,3200.00,USD,PAYMENT,ACC111,MERCHANT005,2025-01-07T10:24:15Z,completed,Apple Store,Electronics,US
TXN2025010711,65.00,USD,PAYMENT,ACC112,MERCHANT006,2025-01-07T10:25:30Z,completed,Uber,Transportation,US
TXN2025010712,820.50,USD,TRANSFER,ACC113,ACC114,2025-01-07T10:26:45Z,completed,Direct Transfer,P2P,US
TXN2025010713,190.00,USD,PAYMENT,ACC115,MERCHANT007,2025-01-07T10:27:00Z,failed,Target,Retail,US
TXN2025010714,2750.00,USD,WITHDRAWAL,ACC116,ATM002,2025-01-07T10:28:15Z,completed,BofA ATM,Banking,US
TXN2025010715,42.50,USD,PAYMENT,ACC117,MERCHANT008,2025-01-07T10:29:30Z,completed,McDonald's,Food & Dining,US
TXN2025010716,6500.00,USD,TRANSFER,ACC118,ACC119,2025-01-07T10:30:45Z,completed,Wire Transfer,P2P,US
TXN2025010717,125.00,USD,PAYMENT,ACC120,MERCHANT009,2025-01-07T10:31:00Z,completed,Spotify,Entertainment,US
TXN2025010718,380.00,USD,PAYMENT,ACC121,MERCHANT010,2025-01-07T10:32:15Z,completed,Best Buy,Electronics,US
TXN2025010719,950.00,USD,TRANSFER,ACC122,ACC123,2025-01-07T10:33:30Z,completed,Direct Transfer,P2P,US
TXN2025010720,55.75,USD,PAYMENT,ACC124,MERCHANT011,2025-01-07T10:34:45Z,completed,Chipotle,Food & Dining,US
TXN2025010721,15000.00,USD,TRANSFER,ACC125,ACC126,2025-01-07T10:35:00Z,pending,Large Transfer,P2P,US
TXN2025010722,280.00,USD,PAYMENT,ACC127,MERCHANT012,2025-01-07T10:36:15Z,completed,Nike Store,Retail,US
TXN2025010723,4200.00,USD,DEPOSIT,BANK002,ACC128,2025-01-07T10:37:30Z,completed,Salary Deposit,Banking,US
TXN2025010724,98.50,USD,PAYMENT,ACC129,MERCHANT013,2025-01-07T10:38:45Z,completed,Steam,Gaming,US
TXN2025010725,720.00,USD,TRANSFER,ACC130,ACC131,2025-01-07T10:39:00Z,completed,Direct Transfer,P2P,US
TXN2025010726,165.00,USD,PAYMENT,ACC132,MERCHANT014,2025-01-07T10:40:15Z,completed,Whole Foods,Grocery,US
TXN2025010727,3800.00,USD,WITHDRAWAL,ACC133,ATM003,2025-01-07T10:41:30Z,failed,Wells Fargo ATM,Banking,US
TXN2025010728,45.00,USD,PAYMENT,ACC134,MERCHANT015,2025-01-07T10:42:45Z,completed,Subway,Food & Dining,US
TXN2025010729,890.00,USD,TRANSFER,ACC135,ACC136,2025-01-07T10:43:00Z,completed,Direct Transfer,P2P,US
TXN2025010730,2100.00,USD,PAYMENT,ACC137,MERCHANT016,2025-01-07T10:44:15Z,completed,Home Depot,Home & Garden,US
TXN2025010731,78.25,USD,PAYMENT,ACC138,MERCHANT017,2025-01-07T10:45:30Z,completed,Lyft,Transportation,US
TXN2025010732,560.00,USD,TRANSFER,ACC139,ACC140,2025-01-07T10:46:45Z,completed,Direct Transfer,P2P,US
TXN2025010733,135.00,USD,PAYMENT,ACC141,MERCHANT018,2025-01-07T10:47:00Z,completed,CVS Pharmacy,Health,US
TXN2025010734,9500.00,USD,TRANSFER,ACC142,ACC143,2025-01-07T10:48:15Z,completed,Business Transfer,B2B,US
TXN2025010735,62.50,USD,PAYMENT,ACC144,MERCHANT019,2025-01-07T10:49:30Z,completed,Panera Bread,Food & Dining,US
TXN2025010736,420.00,USD,PAYMENT,ACC145,MERCHANT020,2025-01-07T10:50:45Z,completed,GameStop,Gaming,US
TXN2025010737,1850.00,USD,TRANSFER,ACC146,ACC147,2025-01-07T10:51:00Z,completed,Direct Transfer,P2P,US
TXN2025010738,95.00,USD,PAYMENT,ACC148,MERCHANT021,2025-01-07T10:52:15Z,completed,Disney+,Entertainment,US
TXN2025010739,675.00,USD,WITHDRAWAL,ACC149,ATM004,2025-01-07T10:53:30Z,completed,Citi ATM,Banking,US
TXN2025010740,38.75,USD,PAYMENT,ACC150,MERCHANT022,2025-01-07T10:54:45Z,completed,Dunkin,Food & Dining,US
TXN2025010741,20000.00,USD,TRANSFER,ACC151,ACC152,2025-01-07T10:55:00Z,pending,Large Transfer,P2P,US
TXN2025010742,310.00,USD,PAYMENT,ACC153,MERCHANT023,2025-01-07T10:56:15Z,completed,Costco,Retail,US
TXN2025010743,5600.00,USD,DEPOSIT,BANK003,ACC154,2025-01-07T10:57:30Z,completed,Business Revenue,Banking,US
TXN2025010744,115.50,USD,PAYMENT,ACC155,MERCHANT024,2025-01-07T10:58:45Z,completed,Adobe,Software,US
TXN2025010745,980.00,USD,TRANSFER,ACC156,ACC157,2025-01-07T10:59:00Z,completed,Direct Transfer,P2P,US
TXN2025010746,225.00,USD,PAYMENT,ACC158,MERCHANT025,2025-01-07T11:00:15Z,completed,REI,Sports & Outdoors,US
TXN2025010747,4300.00,USD,WITHDRAWAL,ACC159,ATM005,2025-01-07T11:01:30Z,failed,PNC ATM,Banking,US
TXN2025010748,52.00,USD,PAYMENT,ACC160,MERCHANT026,2025-01-07T11:02:45Z,completed,Taco Bell,Food & Dining,US
TXN2025010749,1150.00,USD,TRANSFER,ACC161,ACC162,2025-01-07T11:03:00Z,completed,Direct Transfer,P2P,US
TXN2025010750,2800.00,USD,PAYMENT,ACC163,MERCHANT027,2025-01-07T11:04:15Z,completed,Tesla,Automotive,US
